type,i#,Item,Notes,Further notes,Edit notes,,Notes
51,0,Good Bulletproof vest,,,Search for <initial_objects> to find base objects to upgrade,,
52,1,Great Bulletproof vest,,,,,
47,2,Poor Bulletproof vest,,,<name>Work Bench</name>,,
801,3,Alternator,Car part,1 needed,<level>0</level>,Before,
802,4,Car Battery,Car part,1 needed,<level>3</level>,After,
806,5,Clutch Cable,Car part,1 needed,<cooldownTime>-235.3937</cooldownTime>,Before,Not sure if this is needed
800,6,Distributor,Car part,1 needed,<cooldownTime>-7742.671</cooldownTime>,After,Not sure if this is needed
804,7,Fan belt,Car part,1 needed,,,
808,8,Saddle,Horse,,<name>Generator</name>,,
803,9,Spark plug,Car part,1 needed,<level>0</level>,Before,
807,10,Starter Motor,Car part,1 needed,<level>4</level>,After,
805,11,Tyre,Car part,4 needed,<degradeInterval>30</degradeInterval>,Before,Could be taken further to REALLY slow degrading
100,12,Food ration,,,<degradeInterval>45</degradeInterval>,After,Could be taken further to REALLY slow degrading
97,13,Advanced Gas Mask,,,,,
63,14,Alfalfa,,,<name>Water Filter</name>,,
64,15,Aloe Vera,,,<level>0</level>,Before,
103,16,Animal Fat,,,<level>4</level>,After,
101,17,Animal Repellent,,,,,
25,18,Battery,,,<name>Camper Van</name>,,
92,19,Bed Roll,,,Could easily add the parts and make it usable day one,,
49,20,Binoculars,,,,,
18,21,Book,,,<name>Shelter Door</name>,First one,
1302,22,Briefcase,,,<level>0</level>,Before,
135,23,Broken Baseball Bat,,,<level>2</level>,After,
136,24,Broken Crowbar,,,,,
137,25,Broken Hatchet,,,<name>Oxygen Filter</name>,,
138,26,Broken Knife,,,<level>0</level>,Before,
139,27,Broken Knuckleduster,,,<level>4</level>,After,
140,28,Broken Pipe,,,,,
121,29,Broken Pistol,,,<name>Food Bowl</name>,,
76,30,Broken Radio,,,<filled>False</filled>,Before,
141,31,Broken Rebar,,,<filled>True</filled>,After,
122,32,Broken Rifle,,,,,
123,33,Broken Shotgun,,,<name>Radio Transmitter</name>,,
84,34,Broken TV,,,<level>0</level>,Before,
142,35,Broken Wood,,,<level>3</level>,After,
33,36,Bucket,,,,,
30,37,Bulb,,,<name>Shelter Door</name>,second one,
75,38,Burnt Clothes,,,<level>0</level>,Before,
83,39,Burnt Out Laptop,,,<level>2</level>,After,
88,40,Camouflage,,,,,
94,41,Carrier Bag,,,<InventoryManager>,,
43,42,Cement,,,<storage>###</storage>,Sets max inventory storage,
29,43,Circuit Board,,,,,
28,44,Circuit Breaker,,,<maxRations>##</maxRations>,Sets max food storage,
21,45,Coal,,,,,
96,46,Coffee Beans,,,<storedWater>100</storedWater>,Cheat current water,
39,47,Cordite,,,<maxStoredWater>100</maxStoredWater>,Sets max water inventory,
124,48,Corroded Battery,,,,,
129,49,Damaged Teddy Bear,,,<relocations>0</relocations>,"Higher #, more floors to build?",
86,50,Desperate Meat,,,<relocate>False</relocate>,Before,Will instantly relocate you but gives you zero inventory
4,51,DuctTape,,,<relocate>True</relocate>,After,So you would want to save and quit to edit again
66,52,Echinacea,,,,,
104,53,Embryo,,,Traits,,You can give your family all (7/8?) positive traits
91,54,Empty Petrol Can,,,<active>False</active>,Before,
126,55,Fertilizer,,,<isStrength>False</isStrength>,Before,
26,56,Fuse,,,<visible>False</visible>,Before,
